East,North,Elevation,bo,cpy,py,alte,mine,dom,ug
156911.7393,93193.44188,3827.13,0.0,0.564,1.199,BTK,CPY,3,3
156908.3362,93214.70964,3768.98,0.019,0.6709999999999999,3.247,BTK,CPY,3,3
156905.644,93233.72129,3712.19,0.09699999999999999,0.5820000000000001,1.035,BTK,BN,3,4
156903.2416,93252.82611000001,3653.51,0.193,0.48700000000000004,0.78,BTK,CPY,3,3
156901.0979,93270.77183,3598.07,0.057999999999999996,1.036,2.73,BTK,CPY,3,3
156898.9543,93288.71754,3539.14,0.35200000000000004,0.7070000000000001,1.514,BTK,BN,3,4
156895.9723,93307.63602,3482.16,0.040999999999999995,1.038,0.48,BTK,CPY,3,3
156892.9903,93326.55449,3425.29,0.055999999999999994,0.9059999999999999,0.893,BTK,CPY,3,3
156889.6529,93346.60102,3366.68,0.006,0.75,2.301,BTK,CPY,3,3
156886.2189,93366.61649,3308.19,0.0,0.846,1.719,BTK,CPY,3,3
157049.717,92580.61381,3682.69,0.0,0.35700000000000004,0.633,BTK,CPY,3,3
157049.3505,92592.91926,3597.07,0.003,0.564,0.7290000000000001,BTK,CPY,3,3
157049.2774,92601.59208999999,3539.95,0.038,0.555,0.364,BTK,CPY,3,3
157049.9077,92615.4604,3423.66,0.308,0.9940000000000001,0.397,BTK,BN,3,4
157050.3523,92621.81501,3366.33,0.158,1.033,0.647,POT,BN,3,4
157050.9591,92626.97944,3308.95,0.132,0.927,0.461,POT,BN,3,4
157051.5659,92632.14387999999,3251.56,0.047,0.7879999999999999,1.077,BTK,CPY,3,3
157052.0105,92638.49848,3194.18,0.05,0.708,0.67,BTK,CPY,3,3
157052.9071,92643.75609,3136.8,0.003,1.053,1.069,BTK,CPY,3,3
157053.5411,92653.89861,3020.22,0.0,0.823,2.2359999999999998,SCL,CPY,3,2
155656.1359,92979.79311,3592.54,0.006,0.7120000000000001,0.934,BTK,CPY,3,3
155731.721,92599.09662000001,3452.57,0.39399999999999996,0.39799999999999996,0.4,BTK,BN,3,4
155731.3,92601.4459,3395.0,0.324,0.721,0.745,BTK,BN,3,4
155730.8789,92603.79518,3337.43,0.29100000000000004,0.71,2.207,BTK,BN,3,4
157558.5917,92202.58039,3480.99,0.0,0.9279999999999999,4.88,FIL,CPY,3,2
157559.0475,92197.75759,3365.87,0.0,1.036,2.516,FIL,CPY,3,2
157559.2753,92195.3462,3308.31,0.0,1.112,1.807,SCL,CPY,2,1
